,UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,Unnamed: 9
3785,048490,6-я Скворцовая улица,58484907,6-я Скворцовая ул.,Shestaya Skvorczovaya ulicza,001,,1207,77014000023001600,
3786,048495,7-я Скворцовая улица,58484908,7-я Скворцовая ул.,Sed'maya Skvorczovaya ulicza,001,,1207,77014000023001700,
3787,048500,8-я Скворцовая улица,58484909,8-я Скворцовая ул.,Vos'maya Skvorczovaya ulicza,001,,1207,77014000023001500,
3788,048505,9-я Скворцовая улица,58484910,9-я Скворцовая ул.,Devyataya Skvorczovaya ulicza,001,,1207,77014000023001800,
3789,048510,10-я Скворцовая улица,58484911,10-я Скворцовая ул.,Desyataya Skvorczovaya ulicza,001,,1207,77014000023000600,
3790,048515,Дунайская улица,58484912,Дунайская ул.,Dunajskaya ulicza,001,,1210,77000000000765800,
3791,048520,1-й Дунайский переулок,58484913,1-й Дунайский пер.,Pervy'j Dunajskij pereulok,002,,1210,77000000000765000,
3792,048525,2-й Дунайский переулок,58484914,2-й Дунайский пер.,Vtoroj Dunajskij pereulok,002,,1210,77000000000765100,
3793,048530,3-й Дунайский переулок,58484915,3-й Дунайский пер.,Tretij Dunajskij pereulok,002,,1210,77000000000765300,
3794,048535,4-й Дунайский переулок,58484916,4-й Дунайский пер.,Chetvyorty'j Dunajskij pereulok,002,,1210,77000000000765400,
3795,048540,Моравская улица,58484917,Моравская ул.,Moravskaya ulicza,001,,1210,77000000000764100,
